Date,Time,Temperature Front,Humidity Front,Temperature Middle,Humidity Middle,Temperature Back,Humidity Back,Fan/Wet Wall State
2001/01/23,00:00:04,21,98,19,90,18,98,F
2001/01/23,00:05:03,21,98,19,90,18,98,F
2001/01/23,00:10:05,21,98,19,90,18,98,F
2001/01/23,00:15:07,21,98,19,90,18,98,F
2001/01/23,00:20:07,21,98,19,90,17,98,F
2001/01/23,00:25:08,21,98,19,89,17,97,F
2001/01/23,00:30:08,21,98,19,89,17,97,F
2001/01/23,00:35:08,21,98,19,89,17,97,F
2001/01/23,00:40:08,21,98,19,89,17,97,F
2001/01/23,00:45:09,21,98,19,89,17,97,F
2001/01/23,00:50:11,21,98,19,89,17,97,F
2001/01/23,00:55:11,21,98,19,89,17,97,F
2001/01/23,01:00:13,21,98,19,89,17,97,F
2001/01/23,01:05:14,21,98,19,89,17,98,F
2001/01/23,01:10:13,21,98,19,90,17,98,F
2001/01/23,01:15:15,21,98,19,89,17,98,F
2001/01/23,01:20:15,21,98,18,89,17,98,F
2001/01/23,01:25:17,21,98,18,89,17,98,F
2001/01/23,01:30:16,21,98,18,88,17,98,F
2001/01/23,01:35:16,21,98,18,88,17,98,F
2001/01/23,01:40:17,21,98,18,88,17,98,F
2001/01/23,01:45:17,21,98,18,89,17,98,F
2001/01/23,01:50:17,21,98,18,88,17,98,F
2001/01/23,01:55:18,21,98,18,88,17,98,F
2001/01/23,02:00:18,21,98,18,88,17,98,F
2001/01/23,02:05:19,21,98,18,88,17,98,F
2001/01/23,02:10:21,21,98,18,88,17,98,F
2001/01/23,02:15:20,21,98,18,88,17,98,F
2001/01/23,02:20:21,21,98,18,89,17,98,F
2001/01/23,02:25:22,21,98,18,88,17,98,F
2001/01/23,02:30:22,21,98,18,89,16,98,F
2001/01/23,02:35:22,21,98,18,88,16,98,F
2001/01/23,02:40:22,21,98,18,88,16,98,F
2001/01/23,02:45:23,21,98,18,88,16,98,F
2001/01/23,02:50:23,21,98,18,88,16,98,F
2001/01/23,02:55:23,21,98,18,89,16,98,F
2001/01/23,03:00:23,21,98,18,89,16,98,F
2001/01/23,03:05:25,21,98,18,88,16,98,F
2001/01/23,03:10:24,21,98,18,88,16,98,F
2001/01/23,03:15:25,21,98,18,88,16,98,F
2001/01/23,03:20:25,21,98,18,88,16,98,F
2001/01/23,03:25:26,21,98,18,88,16,97,F
2001/01/23,03:30:26,21,98,18,88,16,97,F
2001/01/23,03:35:26,21,98,18,88,16,97,F
2001/01/23,03:40:27,21,98,18,88,16,97,F
2001/01/23,03:45:27,21,98,18,88,16,97,F
2001/01/23,03:50:27,21,98,18,88,16,97,F
2001/01/23,03:55:27,21,98,18,88,16,97,F
2001/01/23,04:00:27,21,98,18,88,16,97,F
2001/01/23,04:05:27,21,98,17,88,16,97,F
2001/01/23,04:10:27,21,98,17,88,16,98,F
2001/01/23,04:15:26,21,98,17,88,16,98,F
2001/01/23,04:20:27,21,98,17,89,16,98,F
2001/01/23,04:25:28,21,98,17,89,16,98,F
2001/01/23,04:30:27,21,98,17,89,16,98,F
2001/01/23,04:35:28,21,98,17,89,16,98,F
2001/01/23,04:40:29,21,98,17,89,16,99,F
2001/01/23,04:45:30,21,98,17,89,16,99,F
2001/01/23,04:50:30,21,98,17,90,16,99,F
2001/01/23,04:55:30,21,98,17,90,16,99,F
2001/01/23,05:00:32,21,98,17,90,16,99,F
2001/01/23,05:05:33,21,98,17,90,16,99,F
2001/01/23,05:10:35,21,98,17,90,16,99,F
2001/01/23,05:15:35,21,98,17,90,16,99,F
2001/01/23,05:20:37,21,98,17,90,16,99,F
2001/01/23,05:25:38,21,98,17,91,16,99,F
2001/01/23,05:30:41,21,98,17,90,16,99,F
2001/01/23,05:35:42,21,98,17,90,16,99,F
2001/01/23,05:40:43,21,98,17,90,16,99,F
2001/01/23,05:45:45,21,98,17,90,16,99,F
2001/01/23,05:50:48,21,98,18,89,16,99,F
2001/01/23,05:55:50,21,98,18,89,16,98,F
2001/01/23,06:00:50,21,98,18,89,16,98,F
2001/01/23,06:05:53,21,98,18,88,16,98,F
2001/01/23,06:10:55,21,98,18,88,16,97,F
2001/01/23,06:15:54,21,98,18,88,16,97,F
2001/01/23,06:20:56,21,98,18,87,16,96,F
2001/01/23,06:25:57,21,98,18,87,17,96,F
2001/01/23,06:30:57,21,98,18,86,17,96,F
2001/01/23,06:35:58,21,98,18,86,17,94,F
2001/01/23,06:40:58,21,98,19,85,18,91,F
2001/01/23,06:45:58,21,98,20,83,19,87,F
2001/01/23,06:50:58,21,98,21,80,20,83,F
2001/01/23,06:55:58,21,98,22,77,21,81,F
2001/01/23,07:00:58,21,96,24,74,22,79,F
2001/01/23,07:06:00,22,91,24,71,23,76,F
2001/01/23,07:11:01,23,86,26,69,24,75,F
2001/01/23,07:16:01,25,82,26,67,25,73,F
2001/01/23,07:21:01,26,79,27,66,26,71,F
2001/01/23,07:26:02,27,77,28,64,26,69,F
2001/01/23,07:31:02,28,74,29,63,27,67,F
2001/01/23,07:36:01,26,68,28,61,26,67,T
2001/01/23,07:41:01,23,74,23,68,22,74,T
2001/01/23,07:46:01,23,73,23,69,22,73,T
2001/01/23,07:51:03,24,72,24,67,22,72,T
2001/01/23,07:56:02,24,71,24,66,23,71,T
2001/01/23,08:01:03,24,69,24,65,23,69,T
2001/01/23,08:06:02,24,72,25,64,24,67,T
2001/01/23,08:11:02,25,69,26,62,24,67,T
2001/01/23,08:16:03,25,67,26,62,25,66,T
2001/01/23,08:21:03,26,64,26,60,25,64,T
2001/01/23,08:26:04,26,63,27,60,26,63,T
2001/01/23,08:31:05,27,62,27,59,26,62,T
2001/01/23,08:36:08,27,62,28,58,27,60,T
2001/01/23,08:41:09,28,60,28,56,27,59,T
2001/01/23,08:46:10,28,58,28,55,28,57,T
2001/01/23,08:51:11,28,57,28,55,28,56,T
2001/01/23,08:56:11,28,57,29,55,28,56,T
2001/01/23,09:01:13,29,57,29,54,29,54,T
2001/01/23,09:06:12,29,55,30,52,29,53,T
2001/01/23,09:11:17,29,54,30,51,29,52,T
2001/01/23,09:16:20,30,52,30,50,30,51,T
2001/01/23,09:21:22,30,51,30,49,30,50,T
2001/01/23,09:26:22,30,51,30,48,30,50,T
2001/01/23,09:31:22,30,50,31,48,30,49,T
2001/01/23,09:36:24,30,49,31,47,30,48,T
2001/01/23,09:41:23,31,49,32,46,31,47,T
2001/01/23,09:46:24,31,49,32,46,31,47,T
